id,birth_year,gender,category,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,age,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq_score,grt_score,res_score,se_score,sms_core,twc_score,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,hst_injury_count_12_16,hst_days_missed_2y,hst_comp_level,hst_age_first_at_level,cog_focus_score,sleep_hrs_band,nut_balanced_meals,nut_score,nut_limiting_factors,nut_energy_mornings,cog_decision_intelligence_score,cog_pregame_anxiety,cop_breathing_exercises,cop_self_talk,cop_visualization,cop_talking_to_teammate,cop_other,coach_score,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,category_progression,num_tests,ever_promoted_between_tests,target_pro_success
Athlete 100,2004,1,5,,69.00,4.16,4.08,100.00,30.00,1.62,,30.00,,32,,,,21,5,5,0,5,5,0,0,0,0,0,1,42,26,41,28,86,21,6,4,5,6,5,4,1,1,5,4,5,3,1,,,,,8,3,1,13,1,4,12,3,0,1,1,0,0,7,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 102,2004,1,5,,68.00,4.18,4.32,100.00,26.50,1.65,21.67,,,9.00,,,,21,4,5,0,5,5,0,0,0,0,0,1,40,24,46,30,84,25,4,3,10,4,1,1,0,0,5,4,2,3,1,,,,,8,5,1,15,0,3,13,4,1,1,1,0,0,7,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 87,2004,1,5,,73.00,4.43,4.34,103.00,29.50,1.62,,28.67,,40.00,,,,21,4,5,0,5,5,0,0,0,0,0,1,43,24,48,28,52,17,5,3,5,15,5,5,1,0,4,3,3,3,1,,,,,8,3,1,11,0,3,14,2,0,0,0,1,0,2,10.20,5.45%,5.10,1.25,1.71%,0.63,0.30,7.26%,0.15,0.20,4.83%,0.10,3.00,2.91%,1.50,3.00,10.17%,1.50,0.10,6.17%,0.05,0.00,0.00%,0.00,1.33,4.64%,0.66,0.00,0.00%,0.00,7.00,17.50%,3.50,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,2,3,1,1
Athlete 87,2004,1,6,187,74.25,4.21,4.18,106.00,32.50,1.66,,30,,47.00,,,,21,4,5,0,5,5,0,0,0,0,0,1,43,24,48,28,52,17,5,3,5,15,5,5,1,0,4,3,3,3,1,,,,,8,3,1,11,0,3,14,2,0,0,0,1,0,2,10.20,5.45%,5.10,1.25,1.71%,0.63,0.30,7.26%,0.15,0.20,4.83%,0.10,3.00,2.91%,1.50,3.00,10.17%,1.50,0.10,6.17%,0.05,0.00,0.00%,0.00,1.33,4.64%,0.66,0.00,0.00%,0.00,7.00,17.50%,3.50,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,2,3,1,1
Athlete 87,2004,1,7,197.20,74.25,4.13,4.14,106.00,32.50,1.72,,,,,,,,21,4,5,0,5,5,0,0,0,0,0,1,43,24,48,28,52,17,5,3,5,15,5,5,1,0,4,3,3,3,1,,,,,8,3,1,11,0,3,14,2,0,0,0,1,0,2,10.20,5.45%,5.10,1.25,1.71%,0.63,0.30,7.26%,0.15,0.20,4.83%,0.10,3.00,2.91%,1.50,3.00,10.17%,1.50,0.10,6.17%,0.05,0.00,0.00%,0.00,1.33,4.64%,0.66,0.00,0.00%,0.00,7.00,17.50%,3.50,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,2,3,1,1
Athlete 167,2005,1,6,177,74.00,4.33,4.45,97.00,29.00,1.74,,,,74,,,,20,4,5,0,4,5,0,1,0,0,0,1,43,26,34,28,90,20,4,5,3,15,4,4,1,0,5,4,2,2,1,,,,,8,3,1,11,0,4,13,2,0,1,1,1,0,7,2.10,1.20%,2.10,0.25,0.34%,0.25,0.00,0.00%,0.00,0.09,2.02%,0.09,5.00,5.15%,5.00,3.00,11.54%,3.00,0.01,0.57%,0.01,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,36.00,94.74%,36.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,0
Athlete 167,2005,1,7,174.90,74.25,4.33,4.54,102.00,26.00,1.75,,,68.33,38.00,,,,20,4,5,0,4,5,0,1,0,0,0,1,43,26,34,28,90,20,4,5,3,15,4,4,1,0,5,4,2,2,1,,,,,8,3,1,11,0,4,13,2,0,1,1,1,0,7,2.10,1.20%,2.10,0.25,0.34%,0.25,0.00,0.00%,0.00,0.09,2.02%,0.09,5.00,5.15%,5.00,3.00,11.54%,3.00,0.01,0.57%,0.01,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,36.00,94.74%,36.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,0
Athlete 202,2005,2,6,,68.25,4.58,4.37,94.00,24.50,1.71,,29.67,,30,,,,20,4,5,0,5,5,0,0,0,0,0,1,37,30,39,28,87,23,8,12,10,12,4,4,1,0,4,4,5,3,1,,,,,9,3,1,11,1,4,12,3,0,1,0,0,0,6,0.00,0.00%,0.00,1.25,1.83%,1.25,0.10,2.23%,0.10,0.06,1.37%,0.06,1.00,1.06%,1.00,0.50,2.08%,0.50,0.01,0.59%,0.01,0.00,0.00%,0.00,0.37,1.25%,0.37,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,1
Athlete 202,2005,1,5,170,69.50,4.48,4.43,95.00,24.00,1.70,,29.30,,,,,,20,4,5,0,5,5,0,0,0,0,0,1,37,30,39,28,87,23,8,12,10,12,4,4,1,0,4,4,5,3,1,,,,,9,3,1,11,1,4,12,3,0,1,0,0,0,6,0.00,0.00%,0.00,1.25,1.83%,1.25,0.10,2.23%,0.10,0.06,1.37%,0.06,1.00,1.06%,1.00,0.50,2.08%,0.50,0.01,0.59%,0.01,0.00,0.00%,0.00,0.37,1.25%,0.37,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,1
Athlete 218,2006,0,4,121.00,63.00,4.63,4.57,86.50,,,,,64.33,19.00,,,,19,5,5,1,5,5,0,0,0,0,0,1,47,28,48,30,84,25,8,7,7,12,5,5,1,0,1,4,5,3,0,,,,,9,2,0,13,1,4,14,3,1,1,1,1,0,8,13.10,10.83%,4.37,0.25,0.40%,0.08,0.18,4.01%,0.06,0.28,6.15%,0.09,6.00,7.06%,2.00,0.50,2.33%,0.17,0.10,5.92%,0.03,0.00,0.00%,0.00,0.00,0.00%,0.00,4.33,6.91%,1.44,25.00,131.58%,8.33,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,3,5,1,1
